"Member Publication Name","Matched Publication Name","Parent Org","Homepage URL","Match Confidence","Match Method","Notes","Opinion Section URL","RSS Opinion feed Y/N","RSS feed URL","Non-RSS Opinion Page Y/N","Monitoring Method"
"Pacifica Tribune","Pacifica Tribune","Coastside News Group, Inc. (CNGI)","http://pacificatribune.ca.newsmemory.com","High","exact_contact","","","","","",""
"Palo Alto Weekly","Palo Alto Weekly","Embarcadero Media Foundation (EMF)","https://www.paloaltoonline.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Paradise Post","Paradise Post","MediaNews Group","http://www.paradisepost.com","High","exact_contact","","","","","",""
"Park Labrea News","Park Labrea News","Beverly Press and Park Labrea News (BP&PLN)","https://beverlypress.com/","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Pasadena Media Foundation","Pasadena Media Foundation","","https://localnewspasadena.com/","High","exact_contact","","","","","",""
"Pasadena Outlook (AKA: Outlook Pasadena)","Pasadena Outlook (AKA: Outlook Pasadena)","La Canada Flintridge Outlook","http://outlooknewspapers.comcategory/pasadena","High","exact_contact","","","","","",""
"Pasadena Press","Pasadena Press","Beacon Media, Inc. (BMI-VR)","http://www.pasadenapress.com","High","exact_contact","","","","","",""
"Pasadena Weekly","Pasadena Weekly","TIMES MEDIA GROUP (TMG)","https://www.pasadenaweekly.com/","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Paso Robles Daily News","Paso Robles Daily News","Access Publishing","https://pasoroblesdailynews.com","High","exact_contact","","","","","",""
"Paso Robles Press","Paso Robles Press","13 Stars Media","https://pasoroblespress.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Petaluma Argus-Courier","Petaluma Argus-Courier","MediaNews Group","http://www.petaluma360.com","High","exact_contact","","","","","",""
"Placer Herald","Placer Herald","Gold Mountain California News Media Inc. (GMCNMI)","http://www.placerherald.com","High","exact_contact","","","","","",""
"Pleasant Hill-Martinez Record","Pleasant Hill-Martinez Record","MediaNews Group","http://www.contracostatimes.com","High","exact_contact","","","","","",""
"Pleasanton Weekly","Pleasanton Weekly","Embarcadero Media Foundation (EMF)","http://www.pleasantonweekly.com","High","exact_contact","","","","","",""
"Poway News Chieftain","Poway News Chieftain","La Jolla Light","https://www.sandiegouniontribune.com/pomerado-news/","High","exact_contact","","","","","",""
"Ramona Sentinel","Ramona Sentinel","La Jolla Light","https://www.sandiegouniontribune.com/ramona-sentinel","High","exact_contact","","","","","",""
"Rancho Bernardo News Journal","Rancho Bernardo News Journal","The San Diego Union-Tribune","https://www.sandiegouniontribune.com/pomerado-news/","High","exact_contact","","","","","",""
"Rancho Santa Fe Review","Rancho Santa Fe Review","La Jolla Light","https://www.sandiegouniontribune.com/rancho-santa-fe-review/","High","exact_contact","","","","","",""
"Record Searchlight","Record Searchlight","","http://www.redding.com","High","exact_contact","","","","","",""
"Red Bluff Daily News","Red Bluff Daily News","MediaNews Group","http://www.redbluffdailynews.com","High","exact_contact","","","","","",""
"Redding Record Searchlight","Redding Record Searchlight","Gannett Company Inc. (GCI)","http://www.redding.com/","High","exact_contact","","","","","",""
"Rio Hondo College - El Paisano","Rio Hondo College - El Paisano","","https://elpaisanoonline.com/","High","exact_contact","","","","","",""
"Riverbank News","Riverbank News","209 Multimedia","http://theriverbanknews.com","High","exact_contact","","","","","",""
"Riverside City College - Viewpoints","Riverside City College - Viewpoints","","https://viewpointsonline.org/","High","exact_contact","","","","","",""
"Riverside Independent","Riverside Independent","Beacon Media, Inc. (BMI-VR)","http://www.riversideindependent.com","High","exact_contact","","","","","",""
"Rosamond News","Rosamond News","Joyce Media Inc. (JMI)","http://joycemediainc.com/papers/rosamondmall.html","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Roseville & Granite Bay Press Tribune","Roseville & Granite Bay Press Tribune","Gold Mountain California News Media Inc. (GMCNMI)","http://www.thepresstribune.com/","High","exact_contact","","","","","",""
"Sacramento Business Journal","Sacramento Business Journal","American City Business Journals (ACBJ)","http://www.bizjournals.com/sacramento","High","exact_contact","","","","","",""
"Sacramento City College - Express","Sacramento City College - Express","","http://saccityexpress.com/","High","exact_contact","","","","","",""
"Sacramento Country Day School - The Octagon","Sacramento Country Day School - The Octagon","","https://www.scdsoctagon.com/","High","exact_contact","","","","","",""
"San Bernardino Bulletin","San Bernardino Bulletin","Metropolitan News Company","http://www.mnc.net/sbbulletin.htm","High","exact_contact","","","","","",""
"San Bernardino Press","San Bernardino Press","Beacon Media, Inc. (BMI-VR)","http://www.sanbernardinopress.com","High","exact_contact","","","","","",""
"San Clemente Times","San Clemente Times","TIMES MEDIA GROUP (TMG)","http://www.sanclementetimes.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"San Diego Mesa College - The Mesa Press","San Diego Mesa College - The Mesa Press","","http://www.mesapress.com/","High","exact_contact","","","","","",""
"San Diego State University - The Daily Aztec","San Diego State University - The Daily Aztec","","http://thedailyaztec.com/","High","exact_contact","","","","","",""
"San Fernando Sun Newspaper","San Fernando Sun Newspaper","San Fernando Valley Sun and El Sol Newspaper","https://sanfernandosun.com/","High","exact_contact","","","","","",""
"San Fernando Valley Sun","San Fernando Valley Sun","Latino Media Collaborative","http://www.sanfernandosun.com","High","exact_contact","","","","","",""
"San Francisco Business Times","San Francisco Business Times","American City Business Journals (ACBJ)","http://www.bizjournals.com/sanfrancisco","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"San Francisco Chronicle","San Francisco Chronicle","Hearst Corporation","http://www.sfchronicle.com","High","exact_contact","","","","","",""
"San Francisco Classical Voice","San Francisco Classical Voice","","https://www.sfcv.org/","High","exact_contact","","","","","",""
"San Francisco Daily Journal","San Francisco Daily Journal","Daily Journal Corporation (DJC)","http://www.dailyjournal.com","High","exact_contact","","","","","",""
"San Francisco Public Press","San Francisco Public Press","","https://www.sfpublicpress.org/","High","exact_contact","","","","","",""
"San Gabriel Sun","San Gabriel Sun","Beacon Media, Inc. (BMI-VR)","","High","exact_contact","No homepage URL found in large sheet","","","","",""
"San Joaquin Delta College - The Collegian","San Joaquin Delta College - The Collegian","","http://deltacollegian.net/","High","exact_contact","","","","","",""
"San Jose Spotlight","San Jose Spotlight","","https://sanjosespotlight.com/","High","exact_contact","","","","","",""
"San Jose State University - Spartan Daily","San Jose State University - Spartan Daily","","http://www.sjsunews.com/spartan_daily/","High","exact_contact","","","","","",""
"San Leandro Times","San Leandro Times","East Bay Publishing","http://www.sanleandrotimes.com","High","exact_contact","","","","","",""
"San Marino Tribune","San Marino Tribune","La Canada Flintridge Outlook","http://www.sanmarinotribune.com","High","exact_contact","","","","","",""
"San Quentin News","San Quentin News","Pollen Initiative","https://sanquentinnews.com","High","exact_contact","","","","","",""
"Sanger High School - Hi-Lights","Sanger High School - Hi-Lights","","https://sangerhilights.com/","High","exact_contact","","","","","",""
"Santa Ana College - el Don","Santa Ana College - el Don","","http://eldonnews.org/","High","exact_contact","","","","","",""
"Santa Barbara City College - The Channels","Santa Barbara City College - The Channels","","https://www.thechannels.org/","High","exact_contact","","","","","",""
"Santa Barbara Independent","Santa Barbara Independent","","http://www.independent.com","High","exact_contact","","","","","",""
"Santa Barbara News-Press","Santa Barbara News-Press","NewsWell","http://www.newspress.com","High","exact_contact","","","","","",""
"Santa Clara University - The Santa Clara","Santa Clara University - The Santa Clara","","http://thesantaclara.org/","High","exact_contact","","","","","",""
"Santa Clara Weekly","Santa Clara Weekly","","https://www.svvoice.com","High","exact_contact","","","","","",""
"Santa Cruz Local","Santa Cruz Local","","https://santacruzlocal.org/","High","exact_contact","","","","","",""
"Santa Maria Times","Santa Maria Times","Santa Maria News Media, Inc. (SMNMI)","https://santamariatimes.com","High","exact_contact","","","","","",""
"Santa Paula TImes","Santa Paula TImes","","http://www.santapaulatimes.com/","High","exact_contact","","","","","",""
"Santa Rosa Junior College - The Oak Leaf","Santa Rosa Junior College - The Oak Leaf","","https://www.theoakleafnews.com/","High","exact_contact","","","","","",""
"Santa Ynez Valley News","Santa Ynez Valley News","Santa Maria News Media, Inc. (SMNMI)","http://www.syvnews.com","High","exact_contact","","","","","",""
"Santa Ynez Valley Star","Santa Ynez Valley Star","13 Stars Media","https://www.santaynezvalleystar.com/","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Shafter Press","Shafter Press","Shafter-Wasco Publishing LLC (S-WPLLC)","http://theshafterpress.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Sierra Lodestar","Sierra Lodestar","Calaveras Enterprise","http://www.calaverasenterprise.com/sierra_lodestar","High","exact_contact","","","","","",""
"Sierra Star","Sierra Star","McClatchy Papers","http://www.sierrastar.com","High","exact_contact","","","","","",""
"Sierra Sun","Sierra Sun","Ogden Newspapers","http://www.sierrasun.com","High","exact_contact","","","","","",""
"Signal Tribune","Signal Tribune","","http://www.signaltribune.com","High","exact_contact","","","","","",""
"Silicon Valley Business Journal","Silicon Valley Business Journal","American City Business Journals (ACBJ)","http://www.bizjournals.com/sanjose","High","exact_contact","","","","","",""
"Siskiyou Daily News","Siskiyou Daily News","Gannett Company Inc. (GCI)","http://www.siskiyoudaily.com","High","exact_contact","","","","","",""
"SJV Water","SJV Water","","http://sjvwater.org","High","exact_contact","","","","","",""
"Skyline College - The Skyline View","Skyline College - The Skyline View","","https://www.theskylineview.com/","High","exact_contact","","","","","",""
"Solana Beach Sun","Solana Beach Sun","La Jolla Light","http://www.delmartimes.net","High","exact_contact","","","","","",""
"Sonoma County Gazette","Sonoma County Gazette","MediaNews Group","http://sonomacountygazette.com","High","exact_contact","","","","","",""
"Sonoma State University - Sonoma State Star","Sonoma State University - Sonoma State Star","","http://www.sonomastatestar.com/","High","exact_contact","","","","","",""
"South Pasadena Review","South Pasadena Review","La Canada Flintridge Outlook","https://outlooknewspapers.com/southpasadenareview/","High","exact_contact","","","","","",""
"Southwestern College - The Sun","Southwestern College - The Sun","","http://www.theswcsun.com/","High","exact_contact","","","","","",""
"St. Helena Star","St. Helena Star","Hoffmann Media Group","http://www.sthelenastar.com","High","exact_contact","","","","","",""
"Stanford University Online High School - OHS Observer","Stanford University Online High School - OHS Observer","","https://ohsobserver.com","High","exact_contact","","","","","",""
"Stanford Universityâ€”The Stanford Daily","Stanford Universityâ€”The Stanford Daily","","https://www.stanforddaily.com","High","exact_contact","","","","","",""
"Stocktonia News Service","Stocktonia News Service","NewsWell","https://stocktonia.org/","High","exact_contact","","","","","",""
"Taft Midway Driller","Taft Midway Driller","","http://www.taftmidwaydriller.com","High","exact_contact","","","","","",""
"Tahoe Daily Tribune","Tahoe Daily Tribune","Ogden Newspapers","http://www.tahoedailytribune.com","High","exact_contact","","","","","",""
"Tehachapi News","Tehachapi News","Sound California News Media Inc. (SCNMI)","http://www.tehachapinews.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"The Acorn","The Acorn","TIMES MEDIA GROUP (TMG)","http://www.theacorn.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"The Almanac","The Almanac","Palo Alto Weekly","http://www.almanacnews.com","High","exact_contact","","","","","",""
"The Ark","The Ark","","http://www.thearknewspaper.com","High","exact_contact","","","","","",""
"The Bakersfield Californian","The Bakersfield Californian","Sound California News Media Inc. (SCNMI)","http://www.bakersfield.com","High","exact_contact","","","","","",""
"The Berkeley Scanner","The Berkeley Scanner","","https://www.berkeleyscanner.com/","High","exact_contact","","","","","",""
"The Business Journal","The Business Journal","Pacific Publishing Group","http://www.thebusinessjournal.com","High","exact_contact","","","","","",""
"The Cambrian","The Cambrian","McClatchy Papers","http://www.sanluisobispo.com/news/local/community/cambrian","High","exact_contact","","","","","",""
"The Capistrano Dispatch","The Capistrano Dispatch","TIMES MEDIA GROUP (TMG)","http://www.thecapistranodispatch.com","High","exact_contact","","","","","",""
"The Ceres Courier","The Ceres Courier","209 Multimedia","http://www.cerescourier.com","High","exact_contact","","","","","",""
"The Community Voice","The Community Voice","","http://www.thecommunityvoice.com","High","exact_contact","","","","","",""
"The Daily Democrat","The Daily Democrat","MediaNews Group","http://www.dailydemocrat.com","High","exact_contact","","","","","",""
"The Daily Independent","The Daily Independent","","https://www.ridgecrestca.com","High","exact_contact","","","","","",""
"The Desert Review","The Desert Review","","http://www.thedesertreview.com","High","exact_contact","","","","","",""
"The Desert Sun","The Desert Sun","Gannett Company Inc. (GCI)","http://www.thedesertsun.com","High","exact_contact","","","","","",""
"The Desert Trail","The Desert Trail","Gold Mountain California News Media Inc. (GMCNMI)","http://www.deserttrail.com","High","exact_contact","","","","","",""
"The Downey Patriot","The Downey Patriot","","http://www.thedowneypatriot.com","High","exact_contact","","","","","",""
"The Escalon Times","The Escalon Times","209 Multimedia","http://www.escalontimes.com","High","exact_contact","","","","","",""
"The Ferndale Enterprise","The Ferndale Enterprise","North Coast Journal, Inc.","https://www.theenterprise.press/","High","exact_contact","","","","","",""
"The Folsom Telegraph","The Folsom Telegraph","Gold Mountain California News Media Inc. (GMCNMI)","http://www.folsomtelegraph.com","High","exact_contact","","","","","",""
"The Fresno Bee","The Fresno Bee","McClatchy Papers","https://www.fresnobee.com","High","exact_contact","","","","","",""
"The Gustine Press-Standard","The Gustine Press-Standard","Turlock Journal","https://www.westsideconnect.com/","High","exact_contact","","","","","",""
"The Hanford Sentinel","The Hanford Sentinel","Santa Maria News Media, Inc. (SMNMI)","http://www.hanfordsentinel.com","High","exact_contact","","","","","",""
"The Independent","The Independent","","https://www.independentnews.com","High","exact_contact","","","","","",""
"The Intermountain News","The Intermountain News","Cright Incorporated (CI)","http://www.northstate.news","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"The Kerman News","The Kerman News","Mineral King Publishing, Inc. (MKPI)","http://www.kerwestnewspapers.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"The Loomis News","The Loomis News","Gold Mountain California News Media Inc. (GMCNMI)","https://goldcountrymedia.com/live-content/the-loomis-news","High","exact_contact","","","","","",""
"The Malibu Times","The Malibu Times","13 Stars Media","http://www.malibutimes.com","High","exact_contact","","","","","",""
"The Mendocino Beacon","The Mendocino Beacon","MediaNews Group","http://www.mendocinobeacon.com","High","exact_contact","","","","","",""
"The Modesto Bee","The Modesto Bee","McClatchy Papers","http://www.modbee.com","High","exact_contact","","","","","",""
"The Modoc County Record","The Modoc County Record","","http://www.modocrecord.com","High","exact_contact","","","","","",""
"The Observer Media Group","The Observer Media Group","","https://sacobserver.com/","High","exact_contact","","","","","",""
"The Orange County Register","The Orange County Register","Southern California News Group (SCNG)","http://www.ocregister.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"The Porterville Recorder","The Porterville Recorder","","https://www.recorderonline.com/","High","exact_contact","","","","","",""
"The Press Democrat","The Press Democrat","MediaNews Group","https://www.pressdemocrat.com","High","exact_contact","","","","","",""
"The Press-Enterprise","The Press-Enterprise","Southern California News Group (SCNG)","https://www.pressenterprise.com/","High","exact_contact","","","","","",""
"The Record","The Record","Gannett Company Inc. (GCI)","http://www.recordnet.com","High","exact_contact","","","","","",""
"The Recorder c/o The Legal Intelligencer","The Recorder c/o The Legal Intelligencer","ALM Media LLC.","https://www.law.com/","High","exact_contact","","","","","",""
"The Reporter","The Reporter","MediaNews Group","http://www.thereporter.com","High","exact_contact","","","","","",""
"The Sacramento Bee","The Sacramento Bee","McClatchy Papers","http://www.sacbee.com","High","exact_contact","","","","","",""
"The Sacramento Valley Mirror","The Sacramento Valley Mirror","","http://www.valleymirror.us","High","exact_contact","","","","","",""
"The Salinas Californian","The Salinas Californian","Gannett Company Inc. (GCI)","http://www.thecalifornian.com","High","exact_contact","","","","","",""
"The San Bernardino American News","The San Bernardino American News","California Black Media","https://sb-american.com","High","exact_contact","","","","","",""
"The San Diego Union-Tribune","The San Diego Union-Tribune","MediaNews Group","http://www.sandiegouniontribune.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"The San Diego Voice & Viewpoint Newspaper","The San Diego Voice & Viewpoint Newspaper","California Black Media","https://sdvoice.info/","High","exact_contact","","","","","",""
"The San Francisco Examiner","The San Francisco Examiner","Clint Reilly Communications (CRC)","https://www.sfexaminer.com/","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"The San Francisco Standard","The San Francisco Standard","","https://sfstandard.com/","High","exact_contact","","","","","",""
"The San Joaquin-Tranquillity West Side Advance","The San Joaquin-Tranquillity West Side Advance","Mineral King Publishing, Inc. (MKPI)","http://kerwestnewspapers.com","High","exact_contact","","","","","",""
"The Selma Enterprise","The Selma Enterprise","Santa Maria News Media, Inc. (SMNMI)","https://hanfordsentinel.com/community/selma-kingsburg/","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"The Siskiyou Daily News","Siskiyou Daily News","Gannett Company Inc. (GCI)","http://www.siskiyoudaily.com","High","exact_contact","","","","","",""
"The Sonoma Index-Tribune","The Sonoma Index-Tribune","MediaNews Group","http://www.sonomanews.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"The Stockton Record (AKA: The Record)","The Stockton Record (AKA: The Record)","Gannett Company Inc. (GCI)","https://www.recordnet.com/","High","exact_contact","","","","","",""
"The Sun-Gazette","The Sun-Gazette","Mineral King Publishing, Inc. (MKPI)","http://www.thesungazette.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"The Tribune","The Tribune","Chatham Asset Management (CAM)","http://www.sanluisobispo.com","High","exact_contact","","","","","",""
"The Trinity Journal","The Trinity Journal","","http://www.trinityjournal.com","High","exact_contact","","","","","",""
"The Ukiah Daily Journal","The Ukiah Daily Journal","MediaNews Group","http://www.ukiahdailyjournal.com","High","exact_contact","","","","","",""
"The Union (Grass Valley Union)","The Union (Grass Valley Union)","","https://www.theunion.com","High","exact_contact","","","","","",""
"The Union Democrat","The Union Democrat","","http://www.uniondemocrat.com","High","exact_contact","","","","","",""
"The Vallejo Sun","The Vallejo Sun","","https://www.vallejosun.com","High","exact_contact","","","","","",""
"The Weekly Calistogan","The Weekly Calistogan","Napa Valley Register","http://www.weeklycalistogan.com","High","exact_contact","","","","","",""
"The West Side Index","The West Side Index","209 Multimedia","http://www.westsideconnect.com","High","exact_contact","","","","","",""
"The Westside Express","The Westside Express","","https://thewestsideexpress.com/","High","exact_contact","","","","","",""
"The Willits News","The Willits News","MediaNews Group","http://www.willitsnews.com","High","exact_contact","","","","","",""
"Times Community News","Times Community News","Los Angeles Times Communications LLC (LATCLLC)","http://mediakit.latimes.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Times-Herald","Times-Herald","MediaNews Group","http://www.timesheraldonline.com","High","exact_contact","","","","","",""
"TimesOC","TimesOC","Los Angeles Times Communications LLC (LATCLLC)","https://www.latimes.com/socal/daily-pilot/entertainment","High","exact_contact","","","","","",""
"Times-Standard","Times-Standard","MediaNews Group","http://www.times-standard.com","High","exact_contact","","","","","",""
"Tracy Press","Tracy Press","Tank Town Media (TTM)","http://www.ttownmedia.com/tracy_press","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Tri-City Voice","Tri-City Voice","Metro Silicon Valley","http://www.tricityvoice.com","High","exact_contact","","","","","",""
"Tulare Advance-Register","Tulare Advance-Register","Gannett Company Inc. (GCI)","http://www.visaliatimesdelta.com/section/tulare/","High","exact_contact","","","","","",""
"Turlock Journal","Turlock Journal","209 Multimedia","http://www.turlockjournal.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"University of California, Berkeley - The Daily Californian","University of California, Berkeley - The Daily Californian","","https://www.dailycal.org","High","exact_contact","","","","","",""
"Valley News Group (VNG)","Valley News Group (VNG)","","https://valleynewsgroup.com/","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Valley Voice","Valley Voice","","http://www.ourvalleyvoice.com","High","exact_contact","","","","","",""
"Ventura County Star","Ventura County Star","Gannett Company Inc. (GCI)","http://www.vcstar.com","High","exact_contact","","","","","",""
"Vida en el Valle","Vida en el Valle","Chatham Asset Management (CAM)","http://www.vidaenelvalle.com","High","exact_contact","","","","","",""
"Visalia Times-Delta","Visalia Times-Delta","Gannett Company Inc. (GCI)","http://www.visaliatimesdelta.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Voice Magazine","Voice Magazine","","http://voicesb.com","High","exact_contact","","","","","",""
"Voice of OC","Voice of OC","","https://voiceofoc.org","High","exact_contact","","","","","",""
"Waterford News","Waterford News","Atwater-Winton Times","http://waterfordnews.weebly.com","High","exact_contact","","","","","",""
"Weed Press","Weed Press","Gannett Company Inc. (GCI)","http://www.mtshastanews.com","High","exact_contact","","","","","",""
"West Covina Press","West Covina Press","Beacon Media, Inc. (BMI-VR)","http://www.westcovinapress.com","High","exact_contact","","","","","",""
"Westside Story Newspaper","Westside Story Newspaper","California Black Media","https://westsidestorynewspaper.com/","High","exact_contact","","","","","",""
"Wind Newspaper","Wind Newspaper","","https://www.windnewspaper.com","High","exact_contact","","","","","",""
"Yucaipa/Calimesa News Mirror","Yucaipa/Calimesa News Mirror","TIMES MEDIA GROUP (TMG)","http://www.newsmirror.net/","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
