"Prototype Publication Name","Ingestion Tier","Recommended System","Primary Source URL","Platform / Pattern Family","List-Page Monitoring Rule","Candidate Article Link Pattern","Article Detail Fetch Needed","Title Extraction","Author Extraction","Date Extraction","Summary Extraction","Dedup Key","Operational Notes"
"Los Angeles Times","Tier 1","Feedly","https://www.latimes.com/opinion","Tribune Publishing / RSS","Ingest every new item from the opinion RSS feed","Use URLs emitted by RSS feed","Optional","RSS item title","RSS item author if present; otherwise article page byline","RSS pubDate","RSS description or generated article summary","Canonical article URL","Best direct Feedly source in the prototype. Minimal engineering needed."
"The Sacramento Bee","Tier 2","Page monitor","https://www.sacbee.com/opinion/","McClatchy opinion index","Check the main opinion landing page for new headline links and section sub-links such as Editorials, Viewpoints, Letters","Links under the opinion module, usually article URLs on the same domain","Yes","List page headline as fallback; confirm on article page","Article page byline","Article page published/updated timestamp","List page deck when present; otherwise generate from article body","Canonical article URL","McClatchy layout is structured enough for a lightweight page monitor; treat category labels as useful metadata."
"The San Diego Union-Tribune","Tier 3","Manual review","http://www.sandiegouniontribune.com","General web page","Detect newly listed article URLs on the source page","Links under the opinion/category page that resolve to article pages","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation."
"San Francisco Chronicle","Tier 2","Page monitor","https://www.sfchronicle.com/opinion","Hearst opinion landing page","Check Chronicle opinion landing page for newly listed commentary/editorial links","Links under /opinion/ on sfchronicle.com","Yes","List headline fallback, confirm on article page","Article byline","Article timestamp","Use list deck when present; otherwise generate from article body","Canonical article URL","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items."
"The Orange County Register","Tier 3","Manual review","http://www.ocregister.com","General web page","Detect newly listed article URLs on the source page","Links under the opinion/category page that resolve to article pages","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation."
"The Fresno Bee","Tier 2","Page monitor","https://www.fresnobee.com/opinion/","McClatchy opinion index","Check the main opinion landing page for new headline links and section sub-links such as Editorials, Viewpoints, Letters","Links under the opinion module, usually article URLs on the same domain","Yes","List page headline as fallback; confirm on article page","Article page byline","Article page published/updated timestamp","List page deck when present; otherwise generate from article body","Canonical article URL","McClatchy layout is structured enough for a lightweight page monitor; treat category labels as useful metadata."
"The Bakersfield Californian","Tier 3","Manual review","http://www.bakersfield.com","General web page","Detect newly listed article URLs on the source page","Links under the opinion/category page that resolve to article pages","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation."
"The Modesto Bee","Tier 2","Page monitor","https://www.modbee.com/opinion/opn-columns-blogs/","McClatchy opinion columns/blogs index","Check opinion columns/blogs landing page for newly listed headlines","Links under opinion columns/blogs section on modbee.com","Yes","List headline fallback, confirm on article page","Article page byline","Article page published/updated timestamp","List deck when present; otherwise generate from article body","Canonical article URL","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items."
"Ventura County Star","Tier 3","Manual review","http://www.vcstar.com","General web page","Detect newly listed article URLs on the source page","Links under the opinion/category page that resolve to article pages","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation."
"The Desert Sun","Tier 3","Manual review","http://www.thedesertsun.com","General web page","Detect newly listed article URLs on the source page","Links under the opinion/category page that resolve to article pages","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation."
"The Press Democrat","Tier 2","Page monitor","https://www.pressdemocrat.com/article/opinion/","Custom CMS opinion articles","Check opinion article landing page for newly listed article URLs","PressDemocrat article links under opinion/article pages","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","RSS is discontinued; page monitoring is the right long-term path."
"Monterey County Weekly","Tier 2","Page monitor","http://www.montereycountyweekly.com","Weekly issue archive / flipbook","Check each new weekly issue for a Letters • Comments • Opinion section","Opinion items embedded in weekly issue archive rather than a stable category page","Maybe","From issue archive headlines or linked article titles","From issue text or linked article page","Use issue date or linked article date","Generate from issue text or linked article body","Canonical article URL","This is a good candidate for manual-assisted weekly extraction rather than a fully generic scraper."
"Redding Record Searchlight","Tier 3","Manual review","http://www.redding.com/","General web page","Detect newly listed article URLs on the source page","Links under the opinion/category page that resolve to article pages","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation."
"The Union Democrat","Tier 2","Page monitor","http://www.uniondemocrat.com","Letters/editorials workflow","Check site for newly posted letters, editorials, or opinion items; use letters workflow as evidence opinion content exists","Opinion/editorial article URLs if found during site crawl","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Treat as a page-monitor candidate, but expect a small amount of manual QA until a stable opinion page is identified."
"Santa Maria Times","Tier 2","Page monitor","https://santamariatimes.com/opinion/guest/","Lee Enterprises opinion guest page","Monitor /opinion/guest/ plus nearby opinion pages for new commentary URLs","santamariatimes.com/opinion/guest/... article URLs","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items."
"48 Hills","Tier 2","Page monitor","https://48hills.org/category/news-politics/opinion/","WordPress category archive","Monitor Opinion archive for new post URLs","48hills article links under /category/news-politics/opinion/","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items."
"Voice of OC","Tier 2","Page monitor","https://voiceofoc.org/category/involvement/community-opinion/","WordPress category page","Monitor Community Opinion category page pagination for new post URLs","voiceofoc.org/category/involvement/community-opinion/... article links","Yes","Category page headline fallback, confirm on article page","Article byline","Article page date","Use category page excerpt when present; otherwise generate from article body","Canonical article URL","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items."
"Capital & Main","Tier 4","Skip for prototype","https://capitalandmain.com","Digital outlet not opinion-led","Skip for first prototype","","No","","","","","Canonical article URL","Not a clean opinion-source fit."
"The Vallejo Sun","Tier 3","Manual review","https://www.vallejosun.com","General web page","Detect newly listed article URLs on the source page","Links under the opinion/category page that resolve to article pages","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation."
"The Mercury News","Tier 3","Manual review","http://www.bayareanewsgroup.com/","General web page","Detect newly listed article URLs on the source page","Links under the opinion/category page that resolve to article pages","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation."
"East Bay Times","Tier 3","Manual review","http://www.bayareanewsgroup.com/","General web page","Detect newly listed article URLs on the source page","Links under the opinion/category page that resolve to article pages","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation."
"ChicoSol News","Tier 2","Page monitor","http://chicosol.org","Nonprofit newsroom with guest commentary","Monitor for commentary / point-of-view / guest-commentary stories","chicosol.org article URLs flagged as commentary or point of view","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Good candidate for keyword-based filtering on list pages if a dedicated archive is absent."
"The Berkeley Scanner","Tier 4","Skip for prototype","https://www.berkeleyscanner.com/","News-only outlet","Skip for first prototype","","No","","","","","Canonical article URL","No opinion section identified."
"A News Café","Tier 2","Page monitor","https://anewscafe.com/category/opinion/","WordPress category page","Monitor Opinion category page and newer pagination for newly published post URLs","anewscafe.com post links listed under Opinion","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items."
"El Tecolote","Tier 3","Manual review","https://eltecolote.org/content/en/","General web page","Detect newly listed article URLs on the source page","Links under the opinion/category page that resolve to article pages","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation."
"Black Voice News","Tier 2","Page monitor","https://blackvoicenews.com/category/opinion/","Category/archive page","Monitor category or op-ed archive for newly listed article URLs","Links under the confirmed opinion/category archive on the same domain","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items."
"San Fernando Sun Newspaper","Tier 2","Page monitor","https://sanfernandosun.com/category/opinion/","Category/archive page","Monitor category or op-ed archive for newly listed article URLs","Links under the confirmed opinion/category archive on the same domain","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items."
"American Community Media","Tier 2","Page monitor","https://americancommunitymedia.org/category/oped/","Category/archive page","Monitor category or op-ed archive for newly listed article URLs","Links under the confirmed opinion/category archive on the same domain","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items."
"Wind Newspaper","Tier 2","Page monitor","https://www.windnewspaper.com/category/opinions","Category/archive page","Monitor category or op-ed archive for newly listed article URLs","Links under the confirmed opinion/category archive on the same domain","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items."
"Valley Voice","Tier 2","Page monitor","http://www.ourvalleyvoice.com","General article stream with opinion-labeled posts","Monitor homepage/category streams for posts labeled OPINION or letters","ourvalleyvoice.com article URLs with OPINION labeling","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Use content labeling rather than relying on a dedicated archive URL."
"Comstock's Magazine","Tier 2","Page monitor","https://www.comstocksmag.com/opinion","Magazine/business opinion archive","Monitor opinion archive for new article URLs","Links listed on opinion page within same domain","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items."
"The Business Journal","Tier 2","Page monitor","https://thebusinessjournal.com/opinion/","Magazine/business opinion archive","Monitor opinion archive for new article URLs","Links listed on opinion page within same domain","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items."
